URL,Statut HTTP,URL finale,Robots Meta,X-Robots-Tag,Canonical,Indexable,Anomalie
http://localhost:3000/,200,http://localhost:3000/,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/,Oui,Canonical mismatch: https://bloombybotanik.com/. 
http://localhost:3000/bloomlab,200,http://localhost:3000/bloomlab,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/bloomlab/,Oui,Canonical mismatch: https://bloombybotanik.com/bloomlab/. 
http://localhost:3000/boutique,200,http://localhost:3000/boutique,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/boutique/,Oui,Canonical mismatch: https://bloombybotanik.com/boutique/. 
http://localhost:3000/infuseur-botanique,200,http://localhost:3000/infuseur-botanique,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/infuseur-botanique/,Oui,Canonical mismatch: https://bloombybotanik.com/infuseur-botanique/. 
http://localhost:3000/manifeste,200,http://localhost:3000/manifeste,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/manifeste/,Oui,Canonical mismatch: https://bloombybotanik.com/manifeste/. 
http://localhost:3000/phytotherapie-reset,200,http://localhost:3000/phytotherapie-reset,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/phytotherapie-reset/,Oui,Canonical mismatch: https://bloombybotanik.com/phytotherapie-reset/. 
http://localhost:3000/bibliotheque,200,http://localhost:3000/bibliotheque,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/bibliotheque/,Oui,Canonical mismatch: https://bloombybotanik.com/bibliotheque/. 
http://localhost:3000/cosmetiques,200,http://localhost:3000/cosmetiques,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/cosmetiques/,Oui,Canonical mismatch: https://bloombybotanik.com/cosmetiques/. 
http://localhost:3000/culinaire,200,http://localhost:3000/culinaire,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/culinaire/,Oui,Canonical mismatch: https://bloombybotanik.com/culinaire/. 
http://localhost:3000/herbier,200,http://localhost:3000/herbier,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/herbier/,Oui,Canonical mismatch: https://bloombybotanik.com/herbier/. 
http://localhost:3000/legal,200,http://localhost:3000/legal,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/legal/,Oui,Canonical mismatch: https://bloombybotanik.com/legal/. 
http://localhost:3000/blog,200,http://localhost:3000/blog,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/blog/,Oui,Canonical mismatch: https://bloombybotanik.com/blog/. 
http://localhost:3000/boutique/kit-starter,200,http://localhost:3000/boutique/kit-starter,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/boutique/kit-starter/,Oui,Canonical mismatch: https://bloombybotanik.com/boutique/kit-starter/. 
http://localhost:3000/boutique/pack-signature,200,http://localhost:3000/boutique/pack-signature,index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1,N/A,https://bloombybotanik.com/boutique/pack-signature/,Oui,Canonical mismatch: https://bloombybotanik.com/boutique/pack-signature/. 
